Stop_ID,Pre_2019
7820277-1,True
7820088-1,True
7820165-1,True
7820155-1,True
7820014-1,True
7820028-1,True
7820085-2,True
7820177-1,True
7820036-1,True
7820063-1,True
7820020-1,True
7820201-1,True
7820061-1,True
7820178-1,True
7820067-1,True
7820219-1,True
7820218-1,True
7820064-1,True
7820126-1,True
7820186-1,True
7820027-1,True
7820068-1,True
7820243-1,True
7820015-1,True
7820187-1,True
7820059-1,True
7820242-1,True
7820217-1,True
7820156-1,True
7820200-1,True
7820013-1,True
7820179-1,True
7820149-1,True
7820076-1,True
7820010-1,True
7820189-1,True
7820224-1,True
7820108-1,True
7820011-1,True
7820012-1,True
7820198-1,True
7820087-1,True
7820257-1,True
7820004-1,True
7820193-1,True
7820173-1,True
7820174-1,True
7820254-1,True
7820075-1,True
7820191-1,True
7820161-1,True
7820227-1,True
7820289-1,True
7820049-1,True
7820137-1,True
7820159-1,True
7820248-1,True
7820103-1,True
7820081-1,True
7820051-1,True
7820123-1,True
7820057-1,True
7820157-1,True
7820249-1,True
7820160-1,True
7820104-1,True
7820080-1,True
7820136-1,True
7820158-1,True
7820048-1,True
7820238-1,True
7820122-1,True
7820007-1,True
7820315-1,True
7820319-1,True
7820285-1,True
7820267-1,True
7820311-1,True
7820324-1,True
7820325-1,True
7820056-1,True
7820085-1,True
7820035-1,True
7820060-1,True
7820112-1,True
7820203-1,True
7820250-1,True
7820262-1,True
7820251-1,True
7820195-1,True
7820139-1,True
7820037-1,True
7820220-1,True
7820261-1,True
7820111-1,True
7820244-1,True
7820148-1,True
7820089-1,True
7820226-1,True
7820291-1,True
7820033-1,True
7820229-1,True
7820147-1,True
7820202-1,True
7820032-1,True
7820252-1,True
7820205-1,True
7820095-1,True
7820296-1,True
7820255-1,True
7820241-1,True
7820288-1,True
7820168-1,True
7820113-1,True
7820207-1,True
7820021-1,True
7820258-1,True
7820240-1,True
7820275-1,True
7820260-1,True
7820114-1,True
7820183-1,True
7820208-1,True
7820024-1,True
7820182-1,True
7820043-1,True
7820263-1,True
7820295-1,True
7820164-1,True
7820140-1,True
7820194-1,True
7820022-1,True
7820293-1,True
7820003-1,True
7820047-1,True
7820069-1,True
7820072-1,True
7820228-1,True
7820212-1,True
7820281-1,True
7820062-1,True
7820086-1,True
7820170-1,True
7820305-1,True
7820130-1,True
7820141-1,True
7820039-1,True
7820301-1,True
7820302-1,True
7820084-1,True
7820066-1,True
7820008-1,True
7820133-1,True
7820093-1,True
7820078-1,True
7820079-1,True
7820065-1,True
7820134-1,True
7820002-1,True
7820317-1,True
7820316-1,True
7820071-1,True
7820094-1,True
7820131-1,True
7820169-1,True
7820284-1,True
7820211-1,True
7820163-1,True
7820115-1,True
7820264-1,True
7820105-1,True
7820046-1,True
7820230-1,True
7820204-1,True
7820280-1,True
7820214-1,True
7820268-1,True
7820231-1,True
7820196-1,True
7820176-1,True
7820197-1,True
7820121-1,True
7820074-1,True
7820023-1,True
7820175-1,True
