Stop_ID,Pre_2019,stop_lat,stop_lon,density
7820277-1,True,58.35505258,26.67956993,5
7820088-1,True,58.37724016,26.72790185,12
7820165-1,True,58.37220599,26.78019005,1
7820155-1,True,58.36951149,26.77530961,1
7820014-1,True,58.37045316,26.76670441,3
7820028-1,True,58.3738068,26.75234171,2
7820085-2,True,58.37759847,26.72792808,13
7820177-1,True,58.37152847,26.71628405,2
7820036-1,True,58.35349102,26.68084579,4
7820063-1,True,58.37208797,26.75966338,2
7820020-1,True,58.38122787,26.72889607,5
7820201-1,True,58.36176427,26.69149115,1
7820061-1,True,58.36652854,26.7043633,4
7820178-1,True,58.3710759,26.7156237,2
7820067-1,True,58.37584714,26.74589515,1
7820219-1,True,58.37382781,26.72187409,3
7820218-1,True,58.35872329,26.68492228,1
7820064-1,True,58.37252213,26.75751568,2
7820126-1,True,58.36929245,26.71073809,1
7820186-1,True,58.38038554,26.73786281,1
7820027-1,True,58.37383298,26.75136132,2
7820068-1,True,58.37669404,26.74457721,1
7820243-1,True,58.36437354,26.69919726,2
7820015-1,True,58.36950908,26.76754256,2
7820187-1,True,58.38113791,26.73694573,1
7820059-1,True,58.36614066,26.70310893,4
7820242-1,True,58.36389419,26.69743305,2
7820217-1,True,58.3585654,26.6841488,1
7820156-1,True,58.36936718,26.77535326,1
7820200-1,True,58.36135764,26.69003217,1
7820013-1,True,58.37551082,26.76968164,1
7820179-1,True,58.3899214,26.7278263,5
7820149-1,True,58.39960631,26.71699995,2
7820076-1,True,58.38685141,26.73622575,2
7820010-1,True,58.37807643,26.75176816,2
7820189-1,True,58.38451818,26.74302861,3
7820224-1,True,58.3920868,26.72167493,2
7820108-1,True,58.39832495,26.72363666,1
7820011-1,True,58.37711352,26.75074771,1
7820012-1,True,58.37592598,26.77040002,1
7820198-1,True,58.37863342,26.77050604,1
7820087-1,True,58.37166265,26.76385484,3
7820257-1,True,58.38116812,26.75303178,2
7820004-1,True,58.39440348,26.7160297,1
7820193-1,True,58.39664003,26.73102389,2
7820173-1,True,58.39150299,26.73039405,6
7820174-1,True,58.38233558,26.74682512,1
7820254-1,True,58.38057943,26.75346982,3
7820075-1,True,58.38659375,26.73719894,1
7820191-1,True,58.39840795,26.70984368,3
7820161-1,True,58.38888884,26.73051394,5
7820227-1,True,58.37609415,26.77878983,1
7820289-1,True,58.37802669,26.73371568,7
7820049-1,True,58.3448756,26.77958387,3
7820137-1,True,58.34641112,26.7835032,3
7820159-1,True,58.35601529,26.78899164,1
7820248-1,True,58.37746185,26.73019788,15
7820103-1,True,58.34666721,26.77393533,1
7820081-1,True,58.34930632,26.78771897,1
7820051-1,True,58.35888637,26.7828262,3
7820123-1,True,58.3595404,26.77785166,2
7820057-1,True,58.37056892,26.73946996,3
7820157-1,True,58.35340275,26.76619969,2
7820249-1,True,58.37716844,26.73005784,15
7820160-1,True,58.35498359,26.78887475,1
7820104-1,True,58.34712456,26.77329275,1
7820080-1,True,58.34924006,26.7874891,1
7820136-1,True,58.34604336,26.78273368,3
7820158-1,True,58.35311862,26.76651814,2
7820048-1,True,58.34493408,26.77937065,3
7820238-1,True,58.36910319,26.74017165,4
7820122-1,True,58.35935535,26.77778613,2
7820007-1,True,58.37323195,26.73683422,1
7820315-1,True,58.34284309,26.72381576,1
7820319-1,True,58.34170221,26.71484949,2
7820285-1,True,58.36125669,26.74040249,1
7820267-1,True,58.36520963,26.7404915,4
7820311-1,True,58.35658799,26.7943089,0
7820324-1,True,58.34275898,26.73020083,1
7820325-1,True,58.34458112,26.71540407,3
7820056-1,True,58.3839401,26.7403782,2
7820085-1,True,58.37742337,26.72755624,13
7820035-1,True,58.35338124,26.6810383,4
7820060-1,True,58.365848,26.70412703,5
7820112-1,True,58.36052133,26.71297705,1
7820203-1,True,58.35501632,26.70768839,5
7820250-1,True,58.35774316,26.71396835,2
7820262-1,True,58.36402713,26.70658214,2
7820251-1,True,58.35767356,26.71364991,2
7820195-1,True,58.3823387,26.73229325,2
7820139-1,True,58.35881504,26.67327622,2
7820037-1,True,58.363475,26.67766253,2
7820220-1,True,58.37296117,26.72287072,3
7820261-1,True,58.36357694,26.7070653,1
7820111-1,True,58.36032883,26.71352127,3
7820244-1,True,58.36356625,26.69877895,2
7820148-1,True,58.35013089,26.70762625,5
