Stop_ID,Pre_2019,density,NIMI
7820277-1,True,5,Ränilinna
7820088-1,True,12,Kesklinna
7820165-1,True,1,Annelinna
7820155-1,True,1,Annelinna
7820014-1,True,3,Annelinna
7820028-1,True,2,Annelinna
7820085-2,True,13,Kesklinna
7820177-1,True,2,Kesklinna
7820036-1,True,4,Ränilinna
7820063-1,True,2,Annelinna
7820020-1,True,5,Ülejõe
7820201-1,True,1,Tammelinna
7820061-1,True,4,Tammelinna
7820178-1,True,2,Vaksali
7820067-1,True,1,Annelinna
7820219-1,True,3,Kesklinna
7820218-1,True,1,Tammelinna
7820064-1,True,2,Annelinna
7820126-1,True,1,Tammelinna
7820186-1,True,1,Ülejõe
7820027-1,True,2,Annelinna
7820068-1,True,1,Annelinna
7820243-1,True,2,Tammelinna
7820015-1,True,2,Annelinna
7820187-1,True,1,Ülejõe
7820059-1,True,4,Tammelinna
7820242-1,True,2,Tammelinna
7820217-1,True,1,Maarjamõisa
7820156-1,True,1,Annelinna
7820200-1,True,1,Maarjamõisa
7820013-1,True,1,Annelinna
7820179-1,True,5,Raadi-Kruusamäe
7820149-1,True,2,Raadi-Kruusamäe
7820076-1,True,2,Ülejõe
7820010-1,True,2,Annelinna
7820189-1,True,3,Raadi-Kruusamäe
7820224-1,True,2,Raadi-Kruusamäe
7820108-1,True,1,Raadi-Kruusamäe
7820011-1,True,1,Annelinna
7820012-1,True,1,Annelinna
7820198-1,True,1,Annelinna
7820087-1,True,3,Annelinna
7820257-1,True,2,Jaamamõisa
7820004-1,True,1,Raadi-Kruusamäe
7820193-1,True,2,Raadi-Kruusamäe
7820173-1,True,6,Raadi-Kruusamäe
7820174-1,True,1,Ülejõe
7820254-1,True,3,Annelinna
7820075-1,True,1,Raadi-Kruusamäe
7820191-1,True,3,Raadi-Kruusamäe
7820161-1,True,5,Ülejõe
7820227-1,True,1,Annelinna
7820289-1,True,7,Kesklinna
7820049-1,True,3,Ihaste
7820137-1,True,3,Ihaste
7820159-1,True,1,Ihaste
7820248-1,True,15,Kesklinna
7820103-1,True,1,Ihaste
7820081-1,True,1,Ihaste
7820051-1,True,3,Ihaste
7820123-1,True,2,Ihaste
7820057-1,True,3,Karlova
7820157-1,True,2,Ihaste
7820249-1,True,15,Kesklinna
7820160-1,True,1,Ihaste
7820104-1,True,1,Ihaste
7820080-1,True,1,Ihaste
7820136-1,True,3,Ihaste
7820158-1,True,2,Ihaste
7820048-1,True,3,Ihaste
7820238-1,True,4,Karlova
7820122-1,True,2,Ihaste
7820007-1,True,1,Karlova
7820315-1,True,1,Ropka tööstuse
7820319-1,True,2,Ropka tööstuse
7820285-1,True,1,Karlova
7820267-1,True,4,Karlova
7820311-1,True,0,Ihaste
7820324-1,True,1,Ropka tööstuse
7820325-1,True,3,Ropka tööstuse
7820056-1,True,2,Ülejõe
7820085-1,True,13,Kesklinna
7820035-1,True,4,Ränilinna
7820060-1,True,5,Tammelinna
7820112-1,True,1,Tammelinna
7820203-1,True,5,Tammelinna
7820250-1,True,2,Tammelinna
7820262-1,True,2,Tammelinna
7820251-1,True,2,Tammelinna
