Stop_ID,stop_lat,stop_lon,geometry,NIMI
,58.35254238,26.74462691,POINT (26.74462691 58.35254238),Ropka tööstuse
7820088-1,58.37724016,26.72790185,POINT (26.72790185 58.37724016),Kesklinna
7820063-1,58.37208797,26.75966338,POINT (26.75966338 58.37208797),Annelinna
7820165-1,58.37220599,26.78019005,POINT (26.78019005 58.37220599),Annelinna
7820014-1,58.37045316,26.76670441,POINT (26.76670441 58.37045316),Annelinna
7820064-1,58.37252213,26.75751568,POINT (26.75751568 58.37252213),Annelinna
7820028-1,58.3738068,26.75234171,POINT (26.75234171 58.3738068),Annelinna
7820068-1,58.37669404,26.74457721,POINT (26.74457721 58.37669404),Annelinna
7820187-1,58.38113791,26.73694573,POINT (26.73694573 58.38113791),Ülejõe
7820020-1,58.38122787,26.72889607,POINT (26.72889607 58.38122787),Ülejõe
7820085-2,58.37759847,26.72792808,POINT (26.72792808 58.37759847),Kesklinna
7820177-1,58.37152847,26.71628405,POINT (26.71628405 58.37152847),Kesklinna
7820036-1,58.35349102,26.68084579,POINT (26.68084579 58.35349102),Ränilinna
7820186-1,58.38038554,26.73786281,POINT (26.73786281 58.38038554),Ülejõe
7820027-1,58.37383298,26.75136132,POINT (26.75136132 58.37383298),Annelinna
7820015-1,58.36950908,26.76754256,POINT (26.76754256 58.36950908),Annelinna
7820155-1,58.36951149,26.77530961,POINT (26.77530961 58.36951149),Annelinna
7820219-1,58.37382781,26.72187409,POINT (26.72187409 58.37382781),Kesklinna
7820059-1,58.36614066,26.70310893,POINT (26.70310893 58.36614066),Tammelinna
7820218-1,58.35872329,26.68492228,POINT (26.68492228 58.35872329),Tammelinna
7820201-1,58.36176427,26.69149115,POINT (26.69149115 58.36176427),Tammelinna
7820178-1,58.3710759,26.7156237,POINT (26.7156237 58.3710759),Vaksali
7820243-1,58.36437354,26.69919726,POINT (26.69919726 58.36437354),Tammelinna
7820061-1,58.36652854,26.7043633,POINT (26.7043633 58.36652854),Tammelinna
7820156-1,58.36936718,26.77535326,POINT (26.77535326 58.36936718),Annelinna
7820217-1,58.3585654,26.6841488,POINT (26.6841488 58.3585654),Maarjamõisa
7820277-1,58.35505258,26.67956993,POINT (26.67956993 58.35505258),Ränilinna
7820242-1,58.36389419,26.69743305,POINT (26.69743305 58.36389419),Tammelinna
7820126-1,58.36929245,26.71073809,POINT (26.71073809 58.36929245),Tammelinna
7820067-1,58.37584714,26.74589515,POINT (26.74589515 58.37584714),Annelinna
7820200-1,58.36135764,26.69003217,POINT (26.69003217 58.36135764),Maarjamõisa
7820276-1,58.35502104,26.67914047,POINT (26.67914047 58.35502104),Ränilinna
