Stop_ID,Binned_time,Binned_day,Pre_2019,Validation_Count_mean,Unvalidated_mean,NIMI,Visiting_score,Rel_Visiting_score,density,n_rows
7800528-1,2018-08-14 16:00:00,0,True,,0.0,Ihaste,1,0.03125,0,1
7800565-1,2018-09-12 14:00:00,0,True,,0.0,Raadi-Kruusamäe,1,0.03125,3,1
7800565-1,2018-09-12 18:00:00,0,True,,1.0,Raadi-Kruusamäe,1,0.03125,3,1
7801229-1,2016-09-02 16:00:00,0,True,,0.0,Raadi-Kruusamäe,1,0.03125,1,1
7820002-1,2016-03-16 10:00:00,0,True,1.1666666666666667,0.0,Ropka,6,0.1875,3,12
7820002-1,2016-03-16 12:00:00,0,True,1.875,1.3333333333333333,Ropka,6,0.1875,3,24
7820002-1,2016-03-23 12:00:00,0,True,2.3333333333333335,0.5,Ropka,6,0.1875,3,24
7820002-1,2016-04-08 12:00:00,0,True,1.7777777777777777,1.3333333333333333,Ropka,6,0.1875,3,27
7820002-1,2016-04-18 20:00:00,0,True,1.5,0.2,Ropka,6,0.1875,3,10
7820002-1,2016-04-28 08:00:00,0,True,1.2727272727272727,0.5,Ropka,6,0.1875,3,22
7820002-1,2016-05-17 14:00:00,0,True,1.75,0.0,Ropka,6,0.1875,3,8
7820002-1,2016-05-27 10:00:00,0,True,1.75,1.5,Ropka,6,0.1875,3,8
7820002-1,2016-05-27 12:00:00,0,True,1.8,0.5,Ropka,6,0.1875,3,10
7820002-1,2016-05-30 08:00:00,0,True,1.1111111111111112,2.0,Ropka,6,0.1875,3,9
7820002-1,2016-06-02 10:00:00,0,True,1.0,1.0,Ropka,6,0.1875,3,3
7820002-1,2016-06-04 14:00:00,1,True,1.0,0.5,Ropka,6,0.1875,3,8
7820002-1,2016-06-04 20:00:00,1,True,1.3333333333333333,5.0,Ropka,6,0.1875,3,3
7820002-1,2016-06-08 12:00:00,0,True,1.25,0.0,Ropka,6,0.1875,3,4
7820002-1,2016-06-17 14:00:00,0,True,1.6,0.0,Ropka,6,0.1875,3,5
7820002-1,2016-06-30 14:00:00,0,True,2.0,0.5,Ropka,6,0.1875,3,12
7820002-1,2016-07-18 20:00:00,0,True,1.1666666666666667,1.0,Ropka,6,0.1875,3,6
7820002-1,2016-08-02 10:00:00,0,True,1.5,1.2,Ropka,6,0.1875,3,10
7820002-1,2016-08-02 12:00:00,0,True,1.8,1.0,Ropka,6,0.1875,3,15
7820002-1,2016-08-04 08:00:00,0,True,1.3333333333333333,0.0,Ropka,6,0.1875,3,18
7820002-1,2016-08-17 12:00:00,0,True,2.2857142857142856,0.0,Ropka,6,0.1875,3,7
7820002-1,2016-09-08 10:00:00,0,True,1.0,1.0,Ropka,6,0.1875,3,16
7820002-1,2016-09-16 16:00:00,0,True,2.142857142857143,0.0,Ropka,6,0.1875,3,14
7820002-1,2016-09-22 10:00:00,0,True,1.1666666666666667,0.6666666666666666,Ropka,6,0.1875,3,18
7820002-1,2016-10-12 12:00:00,0,True,1.1428571428571428,1.0,Ropka,6,0.1875,3,14
7820002-1,2016-11-10 10:00:00,0,True,1.5714285714285714,0.2,Ropka,6,0.1875,3,35
7820002-1,2016-11-17 12:00:00,0,True,2.2857142857142856,1.2,Ropka,6,0.1875,3,35
7820002-1,2016-11-17 16:00:00,0,True,2.5,1.0,Ropka,6,0.1875,3,56
7820002-1,2016-11-17 18:00:00,0,True,1.5,0.75,Ropka,6,0.1875,3,32
