Number_entering_buses,Stop_ID,Binned_time_x,y_pred,y_prob,Score,stop_lat,stop_lon,geometry,NIMI_left,Time,index_right,NIMI_right,NIMI
4,7800528-1,2025-12-11 08:00:00,0,0.12316262,0.49265047907829285,58.35976336,26.79669553,POINT (26.79669553 58.35976336),Ihaste,08:00:00,,,Ihaste
4,7800528-1,2025-12-11 10:00:00,0,0.12285352,0.49141407012939453,58.35976336,26.79669553,POINT (26.79669553 58.35976336),Ihaste,10:00:00,,,Ihaste
4,7800528-1,2025-12-11 12:00:00,0,0.12304567,0.4921826720237732,58.35976336,26.79669553,POINT (26.79669553 58.35976336),Ihaste,12:00:00,,,Ihaste
4,7800528-1,2025-12-11 14:00:00,0,0.12542218,0.5016887187957764,58.35976336,26.79669553,POINT (26.79669553 58.35976336),Ihaste,14:00:00,,,Ihaste
4,7800528-1,2025-12-11 16:00:00,0,0.12542218,0.5016887187957764,58.35976336,26.79669553,POINT (26.79669553 58.35976336),Ihaste,16:00:00,,,Ihaste
3,7800528-1,2025-12-11 18:00:00,0,0.12539904,0.37619711458683014,58.35976336,26.79669553,POINT (26.79669553 58.35976336),Ihaste,18:00:00,,,Ihaste
4,7801229-1,2025-12-11 08:00:00,0,0.12115652,0.48462608456611633,58.40748652,26.74621748,POINT (26.74621748 58.40748652),Raadi-Kruusamäe,08:00:00,,,Raadi-Kruusamäe
4,7801229-1,2025-12-11 14:00:00,0,0.12249777,0.48999106884002686,58.40748652,26.74621748,POINT (26.74621748 58.40748652),Raadi-Kruusamäe,14:00:00,,,Raadi-Kruusamäe
4,7801229-1,2025-12-11 16:00:00,0,0.12259507,0.49038028717041016,58.40748652,26.74621748,POINT (26.74621748 58.40748652),Raadi-Kruusamäe,16:00:00,,,Raadi-Kruusamäe
4,7801229-1,2025-12-11 18:00:00,0,0.12068253,0.48273012042045593,58.40748652,26.74621748,POINT (26.74621748 58.40748652),Raadi-Kruusamäe,18:00:00,,,Raadi-Kruusamäe
2,7801230-1,2025-12-11 06:00:00,0,0.120994404,0.24198880791664124,58.40719514,26.74576886,POINT (26.74576886 58.40719514),Raadi-Kruusamäe,06:00:00,,,Raadi-Kruusamäe
4,7801230-1,2025-12-11 08:00:00,0,0.1269616,0.5078464150428772,58.40719514,26.74576886,POINT (26.74576886 58.40719514),Raadi-Kruusamäe,08:00:00,,,Raadi-Kruusamäe
4,7801230-1,2025-12-11 10:00:00,0,0.12085175,0.48340699076652527,58.40719514,26.74576886,POINT (26.74576886 58.40719514),Raadi-Kruusamäe,10:00:00,,,Raadi-Kruusamäe
4,7801230-1,2025-12-11 12:00:00,0,0.12090862,0.48363447189331055,58.40719514,26.74576886,POINT (26.74576886 58.40719514),Raadi-Kruusamäe,12:00:00,,,Raadi-Kruusamäe
4,7801230-1,2025-12-11 14:00:00,0,0.12249777,0.48999106884002686,58.40719514,26.74576886,POINT (26.74576886 58.40719514),Raadi-Kruusamäe,14:00:00,,,Raadi-Kruusamäe
4,7801230-1,2025-12-11 16:00:00,0,0.12259507,0.49038028717041016,58.40719514,26.74576886,POINT (26.74576886 58.40719514),Raadi-Kruusamäe,16:00:00,,,Raadi-Kruusamäe
4,7801230-1,2025-12-11 18:00:00,0,0.12068253,0.48273012042045593,58.40719514,26.74576886,POINT (26.74576886 58.40719514),Raadi-Kruusamäe,18:00:00,,,Raadi-Kruusamäe
4,7801230-1,2025-12-11 20:00:00,0,0.12074095,0.48296380043029785,58.40719514,26.74576886,POINT (26.74576886 58.40719514),Raadi-Kruusamäe,20:00:00,,,Raadi-Kruusamäe
5,7801230-1,2025-12-11 22:00:00,0,0.120702036,0.6035101786255836,58.40719514,26.74576886,POINT (26.74576886 58.40719514),Raadi-Kruusamäe,22:00:00,,,Raadi-Kruusamäe
4,7801272-1,2025-12-11 06:00:00,0,0.12310883,0.4924353063106537,58.36719396,26.79853701,POINT (26.79853701 58.36719396),Ihaste,06:00:00,,,Ihaste
4,7801272-1,2025-12-11 08:00:00,0,0.12481722,0.49926888942718506,58.36719396,26.79853701,POINT (26.79853701 58.36719396),Ihaste,08:00:00,,,Ihaste
4,7801272-1,2025-12-11 10:00:00,0,0.12285352,0.49141407012939453,58.36719396,26.79853701,POINT (26.79853701 58.36719396),Ihaste,10:00:00,,,Ihaste
4,7801272-1,2025-12-11 12:00:00,0,0.12304567,0.4921826720237732,58.36719396,26.79853701,POINT (26.79853701 58.36719396),Ihaste,12:00:00,,,Ihaste
4,7801272-1,2025-12-11 14:00:00,0,0.12542218,0.5016887187957764,58.36719396,26.79853701,POINT (26.79853701 58.36719396),Ihaste,14:00:00,,,Ihaste
4,7801272-1,2025-12-11 16:00:00,0,0.12542218,0.5016887187957764,58.36719396,26.79853701,POINT (26.79853701 58.36719396),Ihaste,16:00:00,,,Ihaste
3,7801272-1,2025-12-11 18:00:00,0,0.12539904,0.37619711458683014,58.36719396,26.79853701,POINT (26.79853701 58.36719396),Ihaste,18:00:00,,,Ihaste
5,7801272-1,2025-12-11 20:00:00,0,0.125488,0.6274399906396866,58.36719396,26.79853701,POINT (26.79853701 58.36719396),Ihaste,20:00:00,,,Ihaste
1,7801272-1,2025-12-11 22:00:00,0,0.125488,0.12548799812793732,58.36719396,26.79853701,POINT (26.79853701 58.36719396),Ihaste,22:00:00,,,Ihaste
1,7801275-1,2025-12-11 06:00:00,0,0.120994404,0.12099440395832062,58.40362091,26.74190348,POINT (26.74190348 58.40362091),Raadi-Kruusamäe,06:00:00,,,Raadi-Kruusamäe
4,7801275-1,2025-12-11 08:00:00,0,0.12619333,0.5047733187675476,58.40362091,26.74190348,POINT (26.74190348 58.40362091),Raadi-Kruusamäe,08:00:00,,,Raadi-Kruusamäe
4,7801275-1,2025-12-11 10:00:00,0,0.12085175,0.48340699076652527,58.40362091,26.74190348,POINT (26.74190348 58.40362091),Raadi-Kruusamäe,10:00:00,,,Raadi-Kruusamäe
4,7801275-1,2025-12-11 12:00:00,0,0.12090862,0.48363447189331055,58.40362091,26.74190348,POINT (26.74190348 58.40362091),Raadi-Kruusamäe,12:00:00,,,Raadi-Kruusamäe
4,7801275-1,2025-12-11 14:00:00,0,0.12249777,0.48999106884002686,58.40362091,26.74190348,POINT (26.74190348 58.40362091),Raadi-Kruusamäe,14:00:00,,,Raadi-Kruusamäe
4,7801275-1,2025-12-11 16:00:00,0,0.12259507,0.49038028717041016,58.40362091,26.74190348,POINT (26.74190348 58.40362091),Raadi-Kruusamäe,16:00:00,,,Raadi-Kruusamäe
